0 0 -.12751047E+03
0 1 -.12752072E+03
0 2 -.12754028E+03
0 3 -.12756150E+03
0 4 -.12758793E+03
0 5 -.12762946E+03
0 6 -.12767748E+03
0 7 -.12772087E+03
0 8 -.12775766E+03
0 9 -.12779704E+03
0 10 -.12783252E+03
0 11 -.12784880E+03
0 12 -.12784108E+03
0 13 -.12781610E+03
0 14 -.12776858E+03
0 15 -.12767873E+03
1 0 -.12752059E+03
1 1 -.12752937E+03
1 2 -.12754779E+03
1 3 -.12756951E+03
1 4 -.12759709E+03
1 5 -.12763759E+03
1 6 -.12768413E+03
1 7 -.12772726E+03
1 8 -.12776485E+03
1 9 -.12780330E+03
1 10 -.12783687E+03
1 11 -.12785234E+03
1 12 -.12784493E+03
1 13 -.12781896E+03
1 14 -.12776898E+03
1 15 -.12767791E+03
2 0 -.12753983E+03
2 1 -.12754751E+03
2 2 -.12756412E+03
2 3 -.12758681E+03
2 4 -.12761435E+03
2 5 -.12765312E+03
2 6 -.12769747E+03
2 7 -.12773985E+03
2 8 -.12777641E+03
2 9 -.12781273E+03
2 10 -.12784320E+03
2 11 -.12785621E+03
2 12 -.12784691E+03
2 13 -.12781789E+03
2 14 -.12776356E+03
2 15 -.12766856E+03
3 0 -.12756060E+03
3 1 -.12756876E+03
3 2 -.12758631E+03
3 3 -.12760642E+03
3 4 -.12763261E+03
3 5 -.12767008E+03
3 6 -.12771315E+03
3 7 -.12775234E+03
3 8 -.12778601E+03
3 9 -.12781912E+03
3 10 -.12784625E+03
3 11 -.12785502E+03
3 12 -.12784068E+03
3 13 -.12780641E+03
3 14 -.12774657E+03
3 15 -.12764533E+03
4 0 -.12758642E+03
4 1 -.12759573E+03
4 2 -.12761324E+03
4 3 -.12763202E+03
4 4 -.12765422E+03
4 5 -.12769036E+03
4 6 -.12773184E+03
4 7 -.12776759E+03
4 8 -.12779528E+03
4 9 -.12782412E+03
4 10 -.12784762E+03
4 11 -.12785045E+03
4 12 -.12782781E+03
4 13 -.12778608E+03
4 14 -.12771989E+03
4 15 -.12760954E+03
