0 0 -.11278098E+03
0 1 -.11278970E+03
0 2 -.11279872E+03
0 3 -.11279213E+03
0 4 -.11277705E+03
0 5 -.11277517E+03
0 6 -.11276930E+03
0 7 -.11274229E+03
0 8 -.11269065E+03
0 9 -.11263677E+03
0 10 -.11256611E+03
0 11 -.11245756E+03
0 12 -.11230471E+03
0 13 -.11211938E+03
0 14 -.11189795E+03
0 15 -.11160660E+03
1 0 -.11278958E+03
1 1 -.11279348E+03
1 2 -.11279601E+03
1 3 -.11279283E+03
1 4 -.11278546E+03
1 5 -.11277962E+03
1 6 -.11276554E+03
1 7 -.11273927E+03
1 8 -.11269593E+03
1 9 -.11263935E+03
1 10 -.11255989E+03
1 11 -.11245003E+03
1 12 -.11230383E+03
1 13 -.11211749E+03
1 14 -.11188578E+03
1 15 -.11159230E+03
2 0 -.11279827E+03
2 1 -.11279568E+03
2 2 -.11279396E+03
2 3 -.11279271E+03
2 4 -.11278941E+03
2 5 -.11277783E+03
2 6 -.11275851E+03
2 7 -.11273069E+03
2 8 -.11268982E+03
2 9 -.11262918E+03
2 10 -.11254131E+03
2 11 -.11242782E+03
2 12 -.11228255E+03
2 13 -.11209200E+03
2 14 -.11184936E+03
2 15 -.11155005E+03
3 0 -.11279111E+03
3 1 -.11279193E+03
3 2 -.11279215E+03
3 3 -.11278670E+03
3 4 -.11277941E+03
3 5 -.11276773E+03
3 6 -.11274744E+03
3 7 -.11271541E+03
3 8 -.11266777E+03
3 9 -.11260224E+03
3 10 -.11251198E+03
3 11 -.11239191E+03
3 12 -.11223644E+03
3 13 -.11203782E+03
3 14 -.11178968E+03
3 15 -.11148074E+03
4 0 -.11277526E+03
4 1 -.11278379E+03
4 2 -.11278808E+03
4 3 -.11277864E+03
4 4 -.11275676E+03
4 5 -.11274745E+03
4 6 -.11273047E+03
4 7 -.11269196E+03
4 8 -.11262755E+03
4 9 -.11255689E+03
4 10 -.11246781E+03
4 11 -.11233887E+03
4 12 -.11216363E+03
4 13 -.11195336E+03
4 14 -.11170279E+03
4 15 -.11138051E+03
5 0 -.11277240E+03
5 1 -.11277697E+03
5 2 -.11277552E+03
5 3 -.11276598E+03
5 4 -.11274647E+03
5 5 -.11273144E+03
5 6 -.11270225E+03
5 7 -.11265760E+03
5 8 -.11259167E+03
5 9 -.11251227E+03
5 10 -.11240617E+03
5 11 -.11226557E+03
5 12 -.11208387E+03
5 13 -.11185879E+03
5 14 -.11158589E+03
5 15 -.11124570E+03
6 0 -.11276532E+03
6 1 -.11276169E+03
6 2 -.11275500E+03
6 3 -.11274450E+03
6 4 -.11272831E+03
6 5 -.11270107E+03
6 6 -.11266146E+03
6 7 -.11261040E+03
6 8 -.11254092E+03
6 9 -.11244757E+03
6 10 -.11232367E+03
6 11 -.11216883E+03
6 12 -.11197656E+03
6 13 -.11173460E+03
6 14 -.11143545E+03
6 15 -.11107271E+03
7 0 -.11273689E+03
7 1 -.11273398E+03
7 2 -.11272576E+03
7 3 -.11271106E+03
7 4 -.11268840E+03
7 5 -.11265504E+03
7 6 -.11260903E+03
7 7 -.11254628E+03
7 8 -.11246442E+03
7 9 -.11235822E+03
7 10 -.11222066E+03
7 11 -.11204830E+03
7 12 -.11183529E+03
7 13 -.11157150E+03
7 14 -.11124966E+03
7 15 -.11086104E+03
8 0 -.11268359E+03
8 1 -.11268900E+03
8 2 -.11268327E+03
8 3 -.11266181E+03
8 4 -.11262240E+03
8 5 -.11258753E+03
8 6 -.11253799E+03
8 7 -.11246286E+03
8 8 -.11235731E+03
8 9 -.11223761E+03
8 10 -.11209010E+03
8 11 -.11189761E+03
8 12 -.11165326E+03
8 13 -.11136329E+03
8 14 -.11102258E+03
8 15 -.11060297E+03
9 0 -.11262783E+03
9 1 -.11263056E+03
9 2 -.11262076E+03
9 3 -.11259444E+03
9 4 -.11254993E+03
9 5 -.11250635E+03
9 6 -.11244288E+03
9 7 -.11235494E+03
9 8 -.11223590E+03
9 9 -.11209858E+03
9 10 -.11192728E+03
9 11 -.11171140E+03
9 12 -.11144381E+03
9 13 -.11112425E+03
9 14 -.11074826E+03
9 15 -.11029221E+03
10 0 -.11255503E+03
10 1 -.11254895E+03
10 2 -.11253077E+03
10 3 -.11250209E+03
10 4 -.11245880E+03
10 5 -.11239827E+03
10 6 -.11231707E+03
10 7 -.11221551E+03
10 8 -.11208656E+03
10 9 -.11192547E+03
10 10 -.11172505E+03
10 11 -.11148250E+03
10 12 -.11119096E+03
10 13 -.11083909E+03
10 14 -.11041870E+03
10 15 -.10992061E+03
11 0 -.11244403E+03
11 1 -.11243665E+03
11 2 -.11241487E+03
11 3 -.11237967E+03
11 4 -.11232758E+03
11 5 -.11225546E+03
11 6 -.11216011E+03
11 7 -.11204111E+03
11 8 -.11189209E+03
11 9 -.11170769E+03
11 10 -.11148063E+03
11 11 -.11120785E+03
11 12 -.11088241E+03
11 13 -.11049231E+03
11 14 -.11002935E+03
11 15 -.10948423E+03
12 0 -.11228840E+03
12 1 -.11228769E+03
12 2 -.11226689E+03
12 3 -.11222156E+03
12 4 -.11214980E+03
12 5 -.11207134E+03
12 6 -.11196553E+03
12 7 -.11182593E+03
12 8 -.11164573E+03
12 9 -.11143818E+03
12 10 -.11118725E+03
12 11 -.11088061E+03
12 12 -.11051008E+03
12 13 -.11007581E+03
12 14 -.10957238E+03
12 15 -.10897428E+03
13 0 -.11209990E+03
13 1 -.11209822E+03
13 2 -.11207328E+03
13 3 -.11201999E+03
13 4 -.11193672E+03
13 5 -.11184360E+03
13 6 -.11172107E+03
13 7 -.11155987E+03
13 8 -.11135367E+03
13 9 -.11111671E+03
13 10 -.11083364E+03
13 11 -.11048886E+03
13 12 -.11007424E+03
13 13 -.10959212E+03
13 14 -.10903571E+03
13 15 -.10837732E+03
14 0 -.11187496E+03
14 1 -.11186300E+03
14 2 -.11182722E+03
14 3 -.11176857E+03
14 4 -.11168308E+03
14 5 -.11156788E+03
14 6 -.11141941E+03
14 7 -.11123578E+03
14 8 -.11101101E+03
14 9 -.11073904E+03
14 10 -.11041181E+03
14 11 -.11002471E+03
14 12 -.10956975E+03
14 13 -.10903476E+03
14 14 -.10840963E+03
14 15 -.10768354E+03
15 0 -.11157959E+03
15 1 -.11156555E+03
15 2 -.11152406E+03
15 3 -.11145602E+03
15 4 -.11135748E+03
15 5 -.11122476E+03
15 6 -.11105412E+03
15 7 -.11084506E+03
15 8 -.11058972E+03
15 9 -.11028177E+03
15 10 -.10991291E+03
15 11 -.10947912E+03
15 12 -.10897149E+03
15 13 -.10837643E+03
15 14 -.10768373E+03
15 15 -.10688218E+03
