0 0 -.11228401E+03
0 1 -.11227208E+03
0 2 -.11228450E+03
0 3 -.11230135E+03
0 4 -.11234182E+03
0 5 -.11235902E+03
0 6 -.11238658E+03
0 7 -.11241434E+03
0 8 -.11245364E+03
0 9 -.11246983E+03
0 10 -.11246790E+03
0 11 -.11245997E+03
0 12 -.11244133E+03
0 13 -.11238706E+03
0 14 -.11228694E+03
0 15 -.11215986E+03
1 0 -.11227204E+03
1 1 -.11227257E+03
1 2 -.11228563E+03
1 3 -.11230254E+03
1 4 -.11232997E+03
1 5 -.11235572E+03
1 6 -.11238584E+03
1 7 -.11241386E+03
1 8 -.11244257E+03
1 9 -.11246067E+03
1 10 -.11246447E+03
1 11 -.11245566E+03
1 12 -.11242881E+03
1 13 -.11237204E+03
1 14 -.11227956E+03
1 15 -.11215061E+03
2 0 -.11228433E+03
2 1 -.11228551E+03
2 2 -.11230521E+03
2 3 -.11231647E+03
2 4 -.11234014E+03
2 5 -.11236351E+03
2 6 -.11240061E+03
2 7 -.11242576E+03
2 8 -.11244680E+03
2 9 -.11246109E+03
2 10 -.11247097E+03
2 11 -.11245910E+03
2 12 -.11242125E+03
2 13 -.11236194E+03
2 14 -.11227250E+03
2 15 -.11213963E+03
3 0 -.11230098E+03
3 1 -.11230223E+03
3 2 -.11231627E+03
3 3 -.11232915E+03
3 4 -.11235398E+03
3 5 -.11237817E+03
3 6 -.11240589E+03
3 7 -.11242811E+03
3 8 -.11245103E+03
3 9 -.11246440E+03
3 10 -.11246247E+03
3 11 -.11244605E+03
3 12 -.11241022E+03
3 13 -.11234392E+03
3 14 -.11224189E+03
3 15 -.11210215E+03
4 0 -.11234120E+03
4 1 -.11232941E+03
4 2 -.11233969E+03
4 3 -.11235373E+03
4 4 -.11238857E+03
4 5 -.11240043E+03
4 6 -.11242105E+03
4 7 -.11244108E+03
4 8 -.11246890E+03
4 9 -.11247325E+03
4 10 -.11245915E+03
4 11 -.11243642E+03
4 12 -.11240023E+03
4 13 -.11232757E+03
4 14 -.11220786E+03
4 15 -.11205781E+03
5 0 -.11235809E+03
5 1 -.11235484E+03
5 2 -.11236274E+03
5 3 -.11237761E+03
5 4 -.11240012E+03
5 5 -.11241549E+03
5 6 -.11243302E+03
5 7 -.11244925E+03
5 8 -.11246477E+03
5 9 -.11246489E+03
5 10 -.11244734E+03
5 11 -.11241615E+03
5 12 -.11236600E+03
5 13 -.11228159E+03
5 14 -.11215592E+03
5 15 -.11199252E+03
6 0 -.11238526E+03
6 1 -.11238458E+03
6 2 -.11239947E+03
6 3 -.11240496E+03
6 4 -.11242039E+03
6 5 -.11243268E+03
6 6 -.11245454E+03
6 7 -.11246160E+03
6 8 -.11246241E+03
6 9 -.11245459E+03
6 10 -.11243699E+03
6 11 -.11239504E+03
6 12 -.11232388E+03
6 13 -.11222633E+03
6 14 -.11209489E+03
6 15 -.11191567E+03
7 0 -.11241256E+03
7 1 -.11241213E+03
7 2 -.11242416E+03
7 3 -.11242675E+03
7 4 -.11244000E+03
7 5 -.11244851E+03
7 6 -.11246122E+03
7 7 -.11245982E+03
7 8 -.11245686E+03
7 9 -.11243940E+03
7 10 -.11240625E+03
7 11 -.11235159E+03
7 12 -.11227084E+03
7 13 -.11215720E+03
7 14 -.11200368E+03
7 15 -.11180514E+03
8 0 -.11245132E+03
8 1 -.11244031E+03
8 2 -.11244470E+03
8 3 -.11244920E+03
8 4 -.11246739E+03
8 5 -.11246362E+03
8 6 -.11246166E+03
8 7 -.11245648E+03
8 8 -.11245096E+03
8 9 -.11241978E+03
8 10 -.11236597E+03
8 11 -.11229703E+03
8 12 -.11220722E+03
8 13 -.11207613E+03
8 14 -.11189357E+03
8 15 -.11167088E+03
9 0 -.11246691E+03
9 1 -.11245783E+03
9 2 -.11245842E+03
9 3 -.11246202E+03
9 4 -.11247124E+03
9 5 -.11246331E+03
9 6 -.11245343E+03
9 7 -.11243868E+03
9 8 -.11241945E+03
9 9 -.11237611E+03
9 10 -.11230851E+03
9 11 -.11222231E+03
9 12 -.11211179E+03
9 13 -.11195842E+03
9 14 -.11175363E+03
9 15 -.11150440E+03
10 0 -.11246426E+03
10 1 -.11246091E+03
10 2 -.11246762E+03
10 3 -.11245946E+03
10 4 -.11245660E+03
10 5 -.11244528E+03
10 6 -.11243546E+03
10 7 -.11240523E+03
10 8 -.11236541E+03
10 9 -.11230831E+03
10 10 -.11223234E+03
10 11 -.11212621E+03
10 12 -.11198448E+03
10 13 -.11180580E+03
10 14 -.11158226E+03
10 15 -.11130280E+03
11 0 -.11245547E+03
11 1 -.11245127E+03
11 2 -.11245495E+03
11 3 -.11244233E+03
11 4 -.11243325E+03
11 5 -.11241360E+03
11 6 -.11239313E+03
11 7 -.11235030E+03
11 8 -.11229630E+03
11 9 -.11222203E+03
11 10 -.11212619E+03
